filename,width,height,class,xmin,ymin,xmax,ymax
output0.png,1024,1024,nodule,297,499,345,525
output0.png,1024,1024,nodule,345,277,371,294
output0.png,1024,1024,nodule,660,419,676,438
output0.png,1024,1024,nodule,646,359,663,374
output0.png,1024,1024,nodule,223,373,252,395
output0.png,1024,1024,nodule,215,457,228,467
output0.png,1024,1024,nodule,224,460,257,485
output0.png,1024,1024,nodule,801,410,853,460
output0.png,1024,1024,nodule,615,328,644,360
output0.png,1024,1024,nodule,250,329,391,456
output1001.png,1024,1024,nodule,363,441,426,475
output1017.png,1024,1024,nodule,396,440,464,516
output1017.png,1024,1024,nodule,387,550,434,583
output1017.png,1024,1024,nodule,367,640,423,674
output1021.png,1024,1024,nodule,330,574,371,624
output1021.png,1024,1024,nodule,563,393,643,516
output1022.png,1024,1024,nodule,632,388,682,451
output1026.png,1024,1024,nodule,378,452,423,499
output1026.png,1024,1024,nodule,631,452,675,506
output103.png,1024,1024,nodule,373,469,424,506
output103.png,1024,1024,nodule,315,751,347,783
output1034.png,1024,1024,nodule,640,451,681,505
output1034.png,1024,1024,nodule,391,507,432,537
output1046.png,1024,1024,nodule,333,373,419,456
output1046.png,1024,1024,nodule,364,317,421,351
output1046.png,1024,1024,nodule,616,316,635,334
output1046.png,1024,1024,nodule,620,357,635,385
output1046.png,1024,1024,nodule,615,391,653,415
output1047.png,1024,1024,nodule,638,352,681,398
output1047.png,1024,1024,nodule,364,355,424,395
output1047.png,1024,1024,nodule,335,399,388,465
output105.png,1024,1024,nodule,697,372,725,438
output105.png,1024,1024,nodule,753,482,772,506
output105.png,1024,1024,nodule,428,267,467,296
output1050.png,1024,1024,nodule,388,447,431,488
output1050.png,1024,1024,nodule,417,381,457,406
output1051.png,1024,1024,nodule,393,440,451,477
output1052.png,1024,1024,nodule,351,436,403,473
output1052.png,1024,1024,nodule,642,416,677,464
output1053.png,1024,1024,nodule,386,432,449,473
output1053.png,1024,1024,nodule,373,526,425,547
output1058.png,1024,1024,nodule,327,495,399,578
output1058.png,1024,1024,nodule,269,606,309,648
output1058.png,1024,1024,nodule,368,598,396,618
output1058.png,1024,1024,nodule,328,611,352,662
output1058.png,1024,1024,nodule,594,487,625,516
output1058.png,1024,1024,nodule,624,584,664,625
output1060.png,1024,1024,nodule,627,328,712,394
output1060.png,1024,1024,nodule,678,399,696,411
output1060.png,1024,1024,nodule,367,609,392,636
output1060.png,1024,1024,nodule,425,565,468,622
output1060.png,1024,1024,nodule,409,428,471,560
output1074.png,1024,1024,nodule,349,444,389,507
output1074.png,1024,1024,nodule,340,539,387,578
output1074.png,1024,1024,nodule,263,554,297,567
output1087.png,1024,1024,nodule,373,271,415,305
output1087.png,1024,1024,nodule,235,351,267,369
output1087.png,1024,1024,nodule,225,406,255,425
output1087.png,1024,1024,nodule,376,368,398,390
output1090.png,1024,1024,nodule,327,638,373,680
output1090.png,1024,1024,nodule,353,536,414,582
output1090.png,1024,1024,nodule,652,649,680,673
output1091.png,1024,1024,nodule,347,447,394,490
output1092.png,1024,1024,nodule,333,338,382,362
output1092.png,1024,1024,nodule,611,326,666,378
output1092.png,1024,1024,nodule,686,509,719,552
output1093.png,1024,1024,nodule,408,383,467,432
output1093.png,1024,1024,nodule,393,447,440,499
output1093.png,1024,1024,nodule,390,507,439,540
output1093.png,1024,1024,nodule,407,547,448,567
output1093.png,1024,1024,nodule,350,579,382,601
output1096.png,1024,1024,nodule,419,547,449,596
output1096.png,1024,1024,nodule,393,613,441,640
output1096.png,1024,1024,nodule,396,707,457,740
output1097.png,1024,1024,nodule,430,559,480,628
output1097.png,1024,1024,nodule,437,632,461,646
output1097.png,1024,1024,nodule,417,651,451,675
output1101.png,1024,1024,nodule,295,570,368,617
output1101.png,1024,1024,nodule,322,661,363,694
output1103.png,1024,1024,nodule,292,648,326,680
output1112.png,1024,1024,nodule,395,493,459,567
output1142.png,1024,1024,nodule,656,398,690,486
output1142.png,1024,1024,nodule,703,527,741,574
output1143.png,1024,1024,nodule,323,584,390,663
output1143.png,1024,1024,nodule,645,427,703,532
output1144.png,1024,1024,nodule,330,364,392,403
output1144.png,1024,1024,nodule,592,371,626,394
output1144.png,1024,1024,nodule,161,595,210,625
output115.png,1024,1024,nodule,623,407,643,428
output115.png,1024,1024,nodule,241,390,367,603
output1152.png,1024,1024,nodule,313,401,374,440
output1152.png,1024,1024,nodule,289,475,342,520
output1152.png,1024,1024,nodule,577,322,617,395
output1155.png,1024,1024,nodule,342,424,399,445
output1155.png,1024,1024,nodule,352,488,395,521
output1155.png,1024,1024,nodule,338,548,380,614
output1155.png,1024,1024,nodule,169,684,213,716
output1155.png,1024,1024,nodule,619,470,642,506
output1176.png,1024,1024,nodule,300,322,356,362
output1176.png,1024,1024,nodule,591,428,621,458
output1176.png,1024,1024,nodule,389,429,410,448
output1176.png,1024,1024,nodule,596,516,617,543
output1179.png,1024,1024,nodule,314,390,414,477
output1179.png,1024,1024,nodule,325,550,352,581
